Product ID,average_discount,total_sales,total_profit
OFF-AP-10002203,0.80000000000000000000,1.624,-4.466
OFF-BI-10003166,0.72857142857142857143,68.880,-68.4208
OFF-BI-10000778,0.72500000000000000000,496.018,-411.332
TEC-MA-10004521,0.70000000000000000000,206.991,-172.4925
FUR-BO-10001567,0.70000000000000000000,90.882,-190.8522
TEC-MA-10004086,0.70000000000000000000,29.925,-21.945
TEC-MA-10001681,0.70000000000000000000,723.51,-506.457
TEC-MA-10000904,0.70000000000000000000,341.991,-319.1916
TEC-MA-10003337,0.70000000000000000000,179.991,-251.9874
TEC-MA-10003589,0.70000000000000000000,224.937,-164.9538
TEC-MA-10002694,0.70000000000000000000,101.994,-71.3958
TEC-MA-10001695,0.70000000000000000000,703.71,-938.28
OFF-BI-10002429,0.64444444444444444444,526.612,-201.5128
OFF-BI-10001982,0.62857142857142857143,41.344,-19.6928
OFF-BI-10001098,0.62222222222222222222,235.180,-102.8378
OFF-BI-10004465,0.62000000000000000000,51.480,-23.760
OFF-BI-10000201,0.61666666666666666667,25.830,-4.920
OFF-BI-10002609,0.61428571428571428571,31.588,-7.0328
OFF-AP-10000390,0.60000000000000000000,170.744,-325.6332
FUR-FU-10003919,0.60000000000000000000,98.136,-78.5088
OFF-BI-10000494,0.60000000000000000000,11.484,-5.742
OFF-BI-10004141,0.60000000000000000000,17.490,-4.8336
OFF-BI-10002813,0.57500000000000000000,28.512,-16.137
OFF-BI-10000773,0.57500000000000000000,66.566,-39.6990
OFF-BI-10001525,0.56250000000000000000,63.627,-13.9065
OFF-BI-10001575,0.55000000000000000000,207.566,-82.4068
OFF-BI-10004099,0.55000000000000000000,52.992,-23.808
OFF-BI-10001132,0.55000000000000000000,62.946,-0.1614
TEC-MA-10002210,0.55000000000000000000,1212.705,-1057.2300
OFF-BI-10004022,0.53750000000000000000,38.642,-4.8928
OFF-BI-10003196,0.53750000000000000000,43.758,-19.822
OFF-BI-10002982,0.53636363636363636364,143.010,-2.1792
OFF-BI-10002827,0.53333333333333333333,82.950,-15.5946
OFF-BI-10000848,0.53333333333333333333,39.384,-1.9692
TEC-MA-10000418,0.53333333333333333333,11099.963,-8879.9704
OFF-BI-10000216,0.53333333333333333333,54.474,-3.891
OFF-BI-10000474,0.52857142857142857143,197.169,-69.5702
OFF-BI-10000545,0.52222222222222222222,19024.500,760.980
OFF-AP-10002534,0.52000000000000000000,2946.200,-872.0752
OFF-BI-10004224,0.51250000000000000000,1089.936,-242.208
OFF-BI-10002133,0.51250000000000000000,834.60,-82.176
FUR-BO-10002202,0.51000000000000000000,400.0268,-113.2606
OFF-AP-10001634,0.50000000000000000000,18.096,-2.5056
TEC-MA-10004125,0.50000000000000000000,7999.98,-3839.9904
OFF-BI-10001107,0.50000000000000000000,269.328,31.4216
OFF-BI-10004584,0.50000000000000000000,3222.996,-461.3308
OFF-BI-10002794,0.50000000000000000000,545.034,85.2384
OFF-BI-10000285,0.50000000000000000000,72.912,-13.328
TEC-MA-10002178,0.50000000000000000000,1391.4,-55.656
OFF-BI-10002049,0.50000000000000000000,28.851,-5.4768
OFF-BI-10000014,0.50000000000000000000,176.742,9.0553
TEC-MA-10001856,0.50000000000000000000,649,-272.58
OFF-BI-10003784,0.50000000000000000000,11.088,-2.0160
TEC-MA-10002412,0.50000000000000000000,22638.48,-1811.0784
OFF-BI-10002194,0.50000000000000000000,38.304,-12.4488
OFF-BI-10004094,0.50000000000000000000,55.755,-2.9205
OFF-BI-10001116,0.50000000000000000000,117.744,-8.5536
OFF-BI-10004781,0.50000000000000000000,212.658,-18.4092
TEC-MA-10003493,0.50000000000000000000,91.475,-1.8295
TEC-MA-10001148,0.50000000000000000000,5204.241,-882.1188
OFF-BI-10000756,0.50000000000000000000,94.128,11.448
OFF-BI-10000301,0.49230769230769230769,164.985,3.235
OFF-BI-10003676,0.49166666666666666667,258.720,-27.1656
OFF-BI-10003727,0.48888888888888888889,90.706,12.4564
OFF-BI-10003984,0.48571428571428571429,704.691,39.3714
FUR-TA-10004289,0.48333333333333333333,1706.250,-1148.4375
OFF-BI-10001658,0.48333333333333333333,466.004,8.4728
